user : 1990887961 (x,z,rotation)
-4.177629,-0.857208,88.858017
-4.177635,-0.857208,82.558022
-4.17764,-0.857209,80.358025
-4.177645,-0.85721,73.358017
-4.177649,-0.85721,70.058022
-4.177654,-0.857211,66.65802
-4.177659,-0.857212,63.258022
-4.177663,-0.857212,60.358021
-4.177668,-0.857213,57.658016
-4.177672,-0.857213,55.158012
-4.177677,-0.857212,52.858017
-4.177682,-0.857212,50.058022
-4.177687,-0.857212,48.758018
-4.177691,-0.857212,48.158024
-4.177696,-0.857211,47.858025
-4.177701,-0.857211,47.858025
-4.177706,-0.857211,47.858025
-4.17771,-0.85721,47.858025
-4.177715,-0.85721,47.858025
-4.177723,-0.85721,47.858025
-4.177728,-0.85721,47.858025
-4.177732,-0.85721,47.858025
-4.177736,-0.85721,47.858025
-4.177741,-0.857211,47.858025
-4.177745,-0.857211,47.858025
-4.177749,-0.857211,47.858025
-4.177752,-0.857212,47.858025
-4.177757,-0.857213,47.858025
-4.177761,-0.857213,47.858025
-4.177765,-0.857213,47.858025
-4.177769,-0.857213,47.858025
-4.177772,-0.857213,47.858025
-4.177775,-0.857212,45.958019
-4.177778,-0.857211,43.258018
-4.177781,-0.857211,39.958019
-4.177783,-0.85721,36.258022
-4.177787,-0.85721,32.558022
-4.17779,-0.85721,26.858021
-4.177793,-0.85721,22.658018
-4.177795,-0.85721,19.458015
-4.177798,-0.857209,16.758018
-4.177801,-0.857209,14.558021
-4.177804,-0.857209,12.258018
-4.177806,-0.857208,9.658018
-4.177809,-0.857208,8.858018
-4.177811,-0.857208,7.558018
-4.177814,-0.857207,6.558018
-4.177815,-0.857206,6.558018
-4.177817,-0.857206,6.558018
-4.177818,-0.857205,6.558018
-4.177819,-0.857203,6.558018
-4.17782,-0.857202,6.558018
-4.17782,-0.857201,6.558018
-4.17782,-0.857199,6.558018
-4.17782,-0.857197,6.558018
-4.17782,-0.857195,6.558018
-4.17782,-0.857193,6.558018
-4.177819,-0.85719,6.558018
-4.177819,-0.857188,6.558018
-4.177818,-0.857186,6.558018
-4.177817,-0.857183,6.558018
-4.177816,-0.857181,6.558018
-4.177815,-0.857178,6.558018
-4.177814,-0.857175,6.558018
-4.177813,-0.857173,6.558018
-4.177811,-0.857169,6.558018
-4.17781,-0.857167,6.558018
-4.177809,-0.857164,6.558018
-4.177808,-0.857162,6.558018
-4.177807,-0.85716,6.558018
-4.177807,-0.857157,6.558018
-4.177806,-0.857156,6.558018
-4.177805,-0.857154,6.558018
-4.177805,-0.857152,6.558018
-4.177804,-0.85715,6.558018
-4.177804,-0.857148,6.558018
-4.177804,-0.857146,6.558018
-4.177804,-0.857144,6.558018
-4.177804,-0.857142,6.558018
-4.177804,-0.85714,6.558018
-4.177805,-0.857138,6.558018
-4.177805,-0.857136,6.558018
-4.177806,-0.857135,6.558018
-4.177806,-0.857133,6.558018
-4.177807,-0.857131,6.558018
-4.177807,-0.857129,6.558018
-4.177807,-0.857127,6.558018
-4.177807,-0.857125,6.558018
-4.177808,-0.857123,6.558018
-4.177808,-0.857122,6.558018
-4.177809,-0.85712,6.558018
-4.177809,-0.857118,6.558018
-4.177809,-0.857116,6.558018
-4.177809,-0.857114,6.558018
-4.17781,-0.857112,6.558018
-4.17781,-0.857111,6.558018
-4.177811,-0.85711,6.558018
-4.177812,-0.857109,6.558018
-4.177813,-0.857108,6.558018
-4.177814,-0.857107,6.558018
-4.177815,-0.857107,6.558018
-4.177817,-0.857107,6.558018
-4.177819,-0.857108,6.558018
-4.177821,-0.857109,6.558018
-4.177823,-0.85711,6.558018
-4.177825,-0.85711,6.558018
-4.177828,-0.857111,6.558018
-4.17783,-0.857111,6.558018
-4.177833,-0.857112,6.558018
-4.177835,-0.857113,6.558018
-4.177837,-0.857113,6.558018
-4.177839,-0.857113,6.558018
-4.177841,-0.857114,6.558018
-4.177843,-0.857114,6.558018
-4.177845,-0.857115,6.558018
-4.177848,-0.857117,6.558018
-4.17785,-0.857118,6.558018
-4.177852,-0.857119,6.558018
-4.177854,-0.85712,6.558018
-4.177856,-0.857121,6.558018
-4.177858,-0.857122,6.558018
-4.177859,-0.857122,6.558018
-4.177861,-0.857123,6.558018
-4.177862,-0.857123,6.558018
-4.177863,-0.857123,6.558018
-4.177864,-0.857124,6.558018
-4.177865,-0.857124,6.558018
-4.177866,-0.857125,6.558018
-4.177867,-0.857125,6.558018
-4.177868,-0.857126,6.558018
-4.17787,-0.857127,6.558018
-4.177871,-0.857128,6.558018
-4.177872,-0.857129,6.558018
-4.177873,-0.85713,6.558018
-4.177874,-0.85713,6.558018
-4.177875,-0.85713,6.558018
-4.177876,-0.85713,6.558018
-4.177876,-0.85713,6.558018
-4.177877,-0.85713,6.558018
-4.177878,-0.857129,6.558018
-4.177878,-0.857128,6.558018
-4.177879,-0.857127,6.558018
-4.177879,-0.857126,6.558018
-4.17788,-0.857124,6.558018
-4.17788,-0.857123,6.558018
-4.177881,-0.857122,6.558018
-4.177882,-0.857122,6.558018
